Test Case ID,Modul,Fitur / Skenario,Langkah-Langkah,Hasil yang Diharapkan,Jumlah Verifikasi,Jenis,Level,Stack,File Sumber,Job CI,Status
TC-CSA-016,Chat & Scoping AI,Project.service — ProjectService > updateProject / ProjectService > createProject,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/services/project.service.test.ts  3. Eksekusi blok ""ProjectService > updateProject / ProjectService > createProject"" (11 verifikasi)",1) Allows editing in scoping status; 2) Rejects budgetMax < budgetMin on update; 3) Rejects editing in completed status; 4) Rejects editing in in_progress status; 5) Throws PROJECT_NOT_FOUND when project missing on update; 6) Throws when repo.update returns undefined; 7) Updates project in draft status; 8) Allows a visibility-only change in any status; 9) Still rejects visibility bundled with scope edits past the gate; 10) Creates a project with valid input; 11) Rejects budgetMax < budgetMin,11,TDD,Unit Layanan,TypeScript,apps/project-service/src/services/project.service.test.ts,test-unit,Pass
TC-CSA-017,Chat & Scoping AI,Acceptance — ATDD: Project Creation Flow (+2 blok lain),"1. Jalankan `bun run test`  2. Buka apps/project-service/src/tests/acceptance.test.ts  3. Eksekusi blok ""ATDD: Project Creation Flow (+2 blok lain)"" (12 verifikasi)","1) As an owner without specs, I go through AI scoping (project starts as draft); 2) As an owner with specs, I can attach a document URL to the project; 3) As an owner, I can create a project with title and category; 4) As an owner, budgetMax must be greater than budgetMin; 5) As an owner, project title must be at least 3 characters; 6) As an owner, the 3rd revision should be rejected (paid revision required); 7) As a talent, I can progress a milestone from pending to submitted; 8) As an owner, I can request up to 2 free revisions per milestone; 9) As a user, completed projects cannot be modified; 10) As an owner, I can cancel a project before it starts; 11) As an owner, my project follows the correct lifecycle path; 12) As an admin, disputed projects can be resolved to multiple states",12,ATDD,Unit,TypeScript,apps/project-service/src/tests/acceptance.test.ts,test-unit,Pass
TC-CSA-018,Chat & Scoping AI,Scoping chat cancel,"1. Jalankan `bun run test`  2. Buka apps/web/src/hooks/scoping-chat-cancel.test.ts  3. Eksekusi blok ""Scoping chat cancel"" (3 verifikasi)",1) Aborts the in-flight load when the project changes; 2) Does not write state after it has been cancelled; 3) Passes the signal to every request in the chain,3,TDD,Unit,TypeScript,apps/web/src/hooks/scoping-chat-cancel.test.ts,test-unit,Pass
TC-CSA-019,Chat & Scoping AI,Scoping opening,"1. Jalankan `bun run test`  2. Buka apps/web/src/routes/_authenticated/projects/$projectId/scoping-opening.test.ts  3. Eksekusi blok ""Scoping opening"" (8 verifikasi)",1) Carries the opening message itself in en; 2) Carries the opening message itself in id; 3) Interpolates the placeholders the component passes; 4) Keeps both locales at the same key set; 5) Labels and prompts every gap in en; 6) Labels and prompts every gap in id; 7) Renders the greeting instead of the hint it replaced; 8) States the gaps rather than leaving the owner to guess,8,ATDD,Kontrak API,TypeScript,apps/web/src/routes/_authenticated/projects/$projectId/scoping-opening.test.ts,test-unit,Pass
TC-CSA-020,Chat & Scoping AI,Constants,"1. Jalankan `bun run test`  2. Buka packages/shared/src/constants.test.ts  3. Eksekusi blok ""Constants"" (14 verifikasi)",1) RAG config is defined; 2) Talent placement fee range; 3) Rate limits are configured; 4) Matching SLA single talent is 72 hours; 5) Matching SLA team project is 14 days; 6) Talent inactivity reassign is 10 days; 7) Talent inactivity warning is 7 days; 8) Talent quality thresholds exist; 9) API version is v1; 10) Auto release is 14 days; 11) File limits are set; 12) Free revisions is 2; 13) Max team size is 8; 14) Pagination has defaults,14,TDD,Unit,TypeScript,packages/shared/src/constants.test.ts,test-unit,Pass
TC-DBP-001,Dokumen BRD & PRD,Test ai routes.py — TestBuildFallbackPrd / TestBuildPrdMessages,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_ai_routes.py  3. Eksekusi blok ""TestBuildFallbackPrd / TestBuildPrdMessages"" (10 verifikasi)",1) Uses brd estimates; 2) Default tech stack; 3) Returns complete structure; 4) Sprint count matches timeline; 5) Work packages have required fields; 6) Includes brd content; 7) Includes budget info; 8) Includes conversation history; 9) Includes system prompt; 10) Includes timeline,10,ATDD,Kontrak API,Python,apps/ai-service/tests/test_ai_routes.py,test-python,Pass
TC-DBP-002,Dokumen BRD & PRD,Test ai routes.py — TestExtractJsonFromText,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_ai_routes.py  3. Eksekusi blok ""TestExtractJsonFromText"" (10 verifikasi)",1) Complex brd json; 2) Empty string; 3) Invalid json; 4) Invalid json inside fence; 5) Json embedded in text; 6) Json in fence without lang; 7) Json in markdown fence; 8) Nested json; 9) No json; 10) Valid json,10,ATDD,Kontrak API,Python,apps/ai-service/tests/test_ai_routes.py,test-python,Pass
TC-DBP-003,Dokumen BRD & PRD,Test ai routes.py — TestGenerateBrdEndpoint / TestGeneratePrdEndpoint,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_ai_routes.py  3. Eksekusi blok ""TestGenerateBrdEndpoint / TestGeneratePrdEndpoint"" (7 verifikasi)",1) Brd refuses to template on error; 2) Successful brd generation; 3) Requires conversation history; 4) Requires project category; 5) Requires project id; 6) Prd refuses to template on error; 7) Successful prd generation,7,ATDD,Kontrak API,Python,apps/ai-service/tests/test_ai_routes.py,test-python,Pass
TC-DBP-004,Dokumen BRD & PRD,Test ai routes.py — TestLanguageOption / TestRevisionGrounding,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_ai_routes.py  3. Eksekusi blok ""TestLanguageOption / TestRevisionGrounding"" (10 verifikasi)",1) Brd messages include directive; 2) Fallback brd carries language; 3) Fallback prd carries new fields; 4) Parse brd language from request; 5) Prd messages include directive; 6) Directive defaults to indonesian; 7) Directive english; 8) Brd revision grounds on current doc; 9) Brd without instruction has no revision block; 10) Prd revision grounds on current doc,10,ATDD,Kontrak API,Python,apps/ai-service/tests/test_ai_routes.py,test-python,Pass
TC-DBP-005,Dokumen BRD & PRD,Test nats wiring.py,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_nats_wiring.py  3. Eksekusi blok ""Test nats wiring.py"" (9 verifikasi)",1) Consumer terms invalid document type; 2) Consumer terms missing document id; 3) Consumer acks on success; 4) Consumer handles dict content; 5) Consumer naks on write failure; 6) Consumer terms empty content; 7) Publish event injects envelope and headers; 8) Publish event swallows broker errors; 9) Publish event without connection returns false,9,TDD,Unit,Python,apps/ai-service/tests/test_nats_wiring.py,test-python,Pass
TC-DBP-006,Dokumen BRD & PRD,Project Lifecycle — Transition from scoping to brd_generated,"1. Given a project in ""scoping"" status  2. When transitioned to ""brd_generated""",the transition should succeed,1,BDD,Skenario (BDD),TypeScript,apps/project-service/src/features/project-lifecycle.spec.ts,test-unit,Pass
TC-DBP-007,Dokumen BRD & PRD,Brd pdf,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/brd-pdf.test.ts  3. Eksekusi blok ""Brd pdf"" (6 verifikasi)",1) Defaults to Indonesian; 2) Honours an explicit English choice; 3) Defaults team size to one and lists to empty; 4) Drops non-string list entries; 5) Reads camelCase content; 6) Reads snake_case content,6,TDD,Unit,TypeScript,apps/project-service/src/lib/brd-pdf.test.ts,test-unit,Pass
TC-DBP-008,Dokumen BRD & PRD,Document entitlement,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/document-entitlement.test.ts  3. Eksekusi blok ""Document entitlement"" (5 verifikasi)",1) Returns the counted rows; 2) Returns zero when nothing was created today; 3) Short-circuits on an existing paidAt without touching the db; 4) Stays unpaid with no completed transaction and does not backfill; 5) Unlocks on a completed transaction and backfills paidAt,5,TDD,Unit,TypeScript,apps/project-service/src/lib/document-entitlement.test.ts,test-unit,Pass
TC-DBP-009,Dokumen BRD & PRD,Document generation,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/document-generation.test.ts  3. Eksekusi blok ""Document generation"" (8 verifikasi)",1) Refuses an empty document body as if it were generated; 2) Refuses to invent a document when the AI service is unreachable; 3) Refuses to invent a document when the AI service returns an error; 4) Sends the revision instruction and current document; 5) Floors at the default when the estimate is missing or tiny; 6) Is 5 percent of the estimate midpoint; 7) Floors at the default when the estimate is missing; 8) Is 8 percent of the estimate midpoint,8,TDD,Unit,TypeScript,apps/project-service/src/lib/document-generation.test.ts,test-unit,Pass
TC-DBP-010,Dokumen BRD & PRD,Order ref,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/order-ref.test.ts  3. Eksekusi blok ""Order ref"" (5 verifikasi)",1) Reads the document prefixes; 2) Accepts an uppercased uuid; 3) Refuses a revision order with no readable uuid; 4) Reports an unrecognised prefix rather than guessing; 5) Recovers the milestone uuid a revision order carries,5,TDD,Unit,TypeScript,apps/project-service/src/lib/order-ref.test.ts,test-unit,Pass
TC-DBP-011,Dokumen BRD & PRD,Prd pdf,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/prd-pdf.test.ts  3. Eksekusi blok ""Prd pdf"" (3 verifikasi)",1) Defaults to Indonesian; 2) Picks English only when explicitly en; 3) Renders stored AI content through the shared normalizer,3,TDD,Unit,TypeScript,apps/project-service/src/lib/prd-pdf.test.ts,test-unit,Pass
TC-DBP-012,Dokumen BRD & PRD,Public scope,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/public-scope.test.ts  3. Eksekusi blok ""Public scope"" (7 verifikasi)",1) Has nothing to show without a PRD; 2) Carries no per-package amount; 3) Carries no total cost; 4) Describes the work; 5) Ignores a field the model invented; 6) Withholds the scope from a private project; 7) Withholds the scope from a summary-only project,7,TDD,Unit,TypeScript,apps/project-service/src/lib/public-scope.test.ts,test-unit,Pass
TC-DBP-013,Dokumen BRD & PRD,Visibility identity — Stranger reading a public project > public_detail,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/visibility-identity.test.ts  3. Eksekusi blok ""Stranger reading a public project > public_detail"" (8 verifikasi)",1) Withholds documentFileUrl; 2) Withholds documentType; 3) Keeps the owner budget range but no settled money; 4) Still advertises the work; 5) Withholds companyName; 6) Withholds companyRole; 7) Withholds ownerId; 8) Withholds projectType,8,TDD,Unit,TypeScript,apps/project-service/src/lib/visibility-identity.test.ts,test-unit,Pass
TC-DBP-014,Dokumen BRD & PRD,Visibility identity — Stranger reading a public project > public_summary (+2 blok lain),"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/visibility-identity.test.ts  3. Eksekusi blok ""Stranger reading a public project > public_summary (+2 blok lain)"" (12 verifikasi)",1) Withholds documentFileUrl; 2) Withholds documentType; 3) Keeps the owner budget range but no settled money; 4) Still advertises the work; 5) Withholds companyName; 6) Withholds companyRole; 7) Withholds ownerId; 8) Withholds projectType; 9) Never sees the money; 10) Sees the full brief; 11) Still reads ownerId so it can review the owner; 12) Sees the row as stored,12,TDD,Unit,TypeScript,apps/project-service/src/lib/visibility-identity.test.ts,test-unit,Pass
TC-DBP-015,Dokumen BRD & PRD,Visibility — GateProjectBrd / GateProjectPrd,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/visibility.test.ts  3. Eksekusi blok ""GateProjectBrd / GateProjectPrd"" (10 verifikasi)","1) Gives the owner the full BRD, unpaid; 2) Returns null when there is no BRD; 3) Withholds the BRD from a signed-in non-participant; 4) Withholds the BRD from an anonymous viewer; 5) Gives an assigned talent the full BRD; 6) Gives the owner the PRD; 7) Returns null when there is no PRD; 8) Withholds the PRD from a signed-in non-participant; 9) Withholds the PRD from an anonymous viewer; 10) Gives an assigned talent the PRD",10,TDD,Unit,TypeScript,apps/project-service/src/lib/visibility.test.ts,test-unit,Pass
TC-DBP-016,Dokumen BRD & PRD,Document paywall,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/routes/document-paywall.test.ts  3. Eksekusi blok ""Document paywall"" (6 verifikasi)","1) Caps a brand-new document by the daily free quota; 2) Caps revisions through the shared gate and hard-stops the paid cap; 3) Does not gate downloads on review status; 4) Gates downloads and revision caps on the paid entitlement; 5) Keys payment idempotency off paidAt, which survives revisions; 6) Stamps paidAt when a document payment completes",6,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/document-paywall.test.ts,test-unit,Pass
TC-DBP-017,Dokumen BRD & PRD,Document revision price,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/routes/document-revision-price.test.ts  3. Eksekusi blok ""Document revision price"" (4 verifikasi)",1) Leaves a paid BRD at the price it was bought for; 2) Leaves a paid PRD at the price it was bought for; 3) Reprices an unpaid BRD when its body changes; 4) Reprices an unpaid PRD when its body changes,4,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/document-revision-price.test.ts,test-unit,Pass
TC-DBP-018,Dokumen BRD & PRD,Prd dependency graph,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/routes/prd-dependency-graph.test.ts  3. Eksekusi blok ""Prd dependency graph"" (8 verifikasi)","1) Contains a rejected edge so the rest of the graph survives; 2) Only runs where a real edge can exist; 3) Parses the PRD once and reuses it for both plans; 4) Persists the graph the PRD describes; 5) Skips an edge already stored rather than the whole pass; 6) Reads titles from every package, not just the open ones; 7) Sends each open position the work it waits on; 8) Skips both queries when no position is open",8,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/prd-dependency-graph.test.ts,test-unit,Pass
TC-DBP-019,Dokumen BRD & PRD,Read authorization,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/routes/read-authorization.test.ts  3. Eksekusi blok ""Read authorization"" (12 verifikasi)",1) Keeps the PRD PDF download to the owner; 2) Checks project access on the per-project feed; 3) Scopes the global feed to the caller; 4) Leaves the public testimonial route alone; 5) Lets a user read only reviews they wrote or received; 6) Lets a talent assigned to the project act on an integration milestone; 7) Checks project access on the per-project list; 8) Checks project access before listing them; 9) Checks project access before returning a project of reviews; 10) Keeps the platform-wide list to admins; 11) Lets an assigned talent read the PRD; 12) Checks who is asking before returning one dispute,12,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/read-authorization.test.ts,test-unit,Pass
TC-DBP-020,Dokumen BRD & PRD,Brd document,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/templates/brd-document.test.ts  3. Eksekusi blok ""Brd document"" (3 verifikasi)",1) Renders a valid PDF in English; 2) Renders a valid PDF in Indonesian; 3) Renders the preview watermark without failing,3,TDD,Unit,TypeScript,apps/project-service/src/templates/brd-document.test.ts,test-unit,Pass
TC-DBP-021,Dokumen BRD & PRD,Prd document,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/templates/prd-document.test.ts  3. Eksekusi blok ""Prd document"" (4 verifikasi)",1) Renders a valid PDF in English; 2) Renders a valid PDF in Indonesian; 3) Renders the preview watermark without failing; 4) Renders the prose fallback branch,4,TDD,Unit,TypeScript,apps/project-service/src/templates/prd-document.test.ts,test-unit,Pass
TC-DBP-022,Dokumen BRD & PRD,I18n — Keys that once rendered raw are defined in both languages (+2 blok lain),"1. Jalankan `bun run test`  2. Buka apps/web/src/lib/i18n.test.ts  3. Eksekusi blok ""Keys that once rendered raw are defined in both languages (+2 blok lain)"" (12 verifikasi)","1) Document namespace defines its keys in id and en; 2) Project namespace defines its keys in id and en; 3) Payment namespace defines its keys in id and en; 4) Common namespace defines its keys in id and en; 5) Drops the region, so id-ID resolves to id; 6) Falls back to Indonesian; 7) Offers exactly Indonesian and English; 8) Remembers the choice across reloads; 9) Ships both bundles for every namespace; 10) Resolves a regional code to a supported base; 11) Switches to English and back; 12) Translates the same key in both languages",12,TDD,Unit,TypeScript,apps/web/src/lib/i18n.test.ts,test-unit,Pass
TC-DBP-023,Dokumen BRD & PRD,Brd team size,"1. Jalankan `bun run test`  2. Buka apps/web/src/routes/brd-team-size.test.ts  3. Eksekusi blok ""Brd team size"" (4 verifikasi)",1) Adds only the preview-only score on top; 2) Delegates to the shared normaliser; 3) Grows no second copy of the field mapping; 4) Is the same on screen as in the PDF,4,ATDD,Kontrak API,TypeScript,apps/web/src/routes/brd-team-size.test.ts,test-unit,Pass
TC-DBP-024,Dokumen BRD & PRD,Document revision and scope,"1. Jalankan `bun run test`  2. Buka apps/web/src/routes/document-revision-and-scope.test.ts  3. Eksekusi blok ""Document revision and scope"" (4 verifikasi)",1) Delegates to the shared normaliser; 2) Keeps no second copy of its own; 3) BRD sends description and surfaces failure; 4) PRD sends description and surfaces failure,4,ATDD,Kontrak API,TypeScript,apps/web/src/routes/document-revision-and-scope.test.ts,test-unit,Pass
TC-DBP-025,Dokumen BRD & PRD,Project tabs,"1. Jalankan `bun run test`  2. Buka apps/web/src/routes/project-tabs.test.ts  3. Eksekusi blok ""Project tabs"" (8 verifikasi)",1) Points documents at a real page; 2) Does not link the consent line to a route that does not exist; 3) Offers no account deletion it cannot perform; 4) Links out instead of holding tab state; 5) Points time-tracking at a real page; 6) Renders no stub in place of a real page; 7) Points milestones at a real page; 8) Shows no export button on payment history,8,ATDD,Kontrak API,TypeScript,apps/web/src/routes/project-tabs.test.ts,test-unit,Pass
TC-DBP-026,Dokumen BRD & PRD,Brd content,"1. Jalankan `bun run test`  2. Buka packages/shared/src/brd-content.test.ts  3. Eksekusi blok ""Brd content"" (8 verifikasi)",1) Accepts all three team-size spellings; 2) Defaults to a team of one only when no spelling is present; 3) Keeps a legacy risk object rather than dropping it; 4) Keeps the body of a legacy functional requirement; 5) Reads camelCase just as well; 6) Reads the snake_case the model emits; 7) Survives a row with nothing in it; 8) Survives content that is not an object at all,8,TDD,Unit,TypeScript,packages/shared/src/brd-content.test.ts,test-unit,Pass
TC-DBP-027,Dokumen BRD & PRD,Documents,"1. Jalankan `bun run test`  2. Buka packages/shared/src/documents.test.ts  3. Eksekusi blok ""Documents"" (4 verifikasi)","1) Allows the two free revisions on an unpaid document; 2) Asks an unpaid document to pay once the free limit is reached; 3) Lifts the cap to nine once paid; 4) Hard-stops a paid document at nine, never routing back to payment",4,TDD,Unit,TypeScript,packages/shared/src/documents.test.ts,test-unit,Pass
TC-DBP-028,Dokumen BRD & PRD,Prd content — CamelCase input still works (+3 blok lain),"1. Jalankan `bun run test`  2. Buka packages/shared/src/prd-content.test.ts  3. Eksekusi blok ""CamelCase input still works (+3 blok lain)"" (8 verifikasi)",1) Reads a document already stored in the viewer shape; 2) Drops non-object entries rather than rendering undefined; 3) Falls back to the work package count for team size; 4) Survives %p; 5) Defaults a bare-string deliverable type to document and empties missing lists; 6) Reads them off a work package and the document; 7) Reads the team size nested under either spelling; 8) Reads work packages nested under either spelling,8,TDD,Unit,TypeScript,packages/shared/src/prd-content.test.ts,test-unit,Pass
TC-DBP-029,Dokumen BRD & PRD,Prd content — NormalizePrdContent on real AI output (+1 blok lain),"1. Jalankan `bun run test`  2. Buka packages/shared/src/prd-content.test.ts  3. Eksekusi blok ""NormalizePrdContent on real AI output (+1 blok lain)"" (12 verifikasi)",1) Agrees with the work package table footer by construction; 2) Finds the sections that used to render blank; 3) Maps dependencies onto the graph the chart reads; 4) Reads sprints that arrive as tasks and duration_days; 5) Reads work packages that arrive as title; 6) Sums the totals the AI service does not send; 7) Builds team members from the work packages; 8) Keeps a prose api design as one entry rather than dropping it; 9) Keeps a prose schema description; 10) Reads work packages nested under team_composition; 11) Takes team size from the nested block; 12) Turns a bare tech string into something the card can render,12,TDD,Unit,TypeScript,packages/shared/src/prd-content.test.ts,test-unit,Pass
TC-EI-001,Event & Integrasi,Outbox,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/outbox.test.ts  3. Eksekusi blok ""Outbox"" (3 verifikasi)",1) Captures active traceparent into row.traceContext; 2) RestoreTraceContext yields original span context; 3) Returns null traceContext when no active span,3,TDD,Unit,TypeScript,apps/project-service/src/lib/outbox.test.ts,test-unit,Pass
TC-EI-002,Event & Integrasi,Project completed event,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/repositories/project-completed-event.test.ts  3. Eksekusi blok ""Project completed event"" (3 verifikasi)",1) Appends the dedicated project.completed subject; 2) Gates it on the completed transition; 3) Carries the owner as the notification recipient,3,TDD,Integrasi Data,TypeScript,apps/project-service/src/repositories/project-completed-event.test.ts,test-unit,Pass
TC-EI-003,Event & Integrasi,Outbox worker,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/services/outbox-worker.test.ts  3. Eksekusi blok ""Outbox worker"" (3 verifikasi)",1) Connects to NATS and starts processing; 2) Handles stop when not started gracefully; 3) Drains NATS connection and stops,3,TDD,Unit Layanan,TypeScript,apps/project-service/src/services/outbox-worker.test.ts,test-unit,Pass
TC-EI-004,Event & Integrasi,Enums — TransactionEventType (+9 blok lain),"1. Jalankan `bun run test`  2. Buka packages/shared/src/enums.test.ts  3. Eksekusi blok ""TransactionEventType (+9 blok lain)"" (9 verifikasi)","1) Has 7 event types; 2) Has user, ai, system; 3) Has no admin in main app; 4) Has owner and talent; 5) Has 3 statuses; 6) Has 18 activity types; 7) Includes key activities; 8) Has 4 statuses; 9) Has all statuses",9,TDD,Unit,TypeScript,packages/shared/src/enums.test.ts,test-unit,Pass
TC-HK-001,Harga & Komisi,Settle milestone,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/settle-milestone.test.ts  3. Eksekusi blok ""Settle milestone"" (9 verifikasi)",1) Derives the fee from the work package ratio; 2) Returns zero when no pricing data exists; 3) Pays the talent share and books the fee for an approved milestone; 4) Falls back to the project totals without a work package; 5) Pays the talent in full on a corrupted ratio; 6) Does not pay a milestone that is not approved; 7) Does not pay a zero-amount milestone; 8) Does not pay an integration milestone with no assigned talent; 9) Returns unpaid when the milestone is gone,9,TDD,Unit,TypeScript,apps/project-service/src/lib/settle-milestone.test.ts,test-unit,Pass
TC-HK-002,Harga & Komisi,Placement fee,"1. Jalankan `bun run test`  2. Buka packages/shared/src/placement-fee.test.ts  3. Eksekusi blok ""Placement fee"" (9 verifikasi)",1) Is ordered and covers every duration; 2) Charges the least past two years; 3) Charges the most on a new relationship; 4) Eases off once they have worked a year together; 5) Puts each boundary on the cheaper side; 6) Quotes nothing without a salary figure; 7) Refuses a negative salary rather than crediting the owner; 8) Rounds to a whole rupiah; 9) Treats a nonsensical duration as the newest relationship,9,TDD,Unit,TypeScript,packages/shared/src/placement-fee.test.ts,test-unit,Pass
TC-HK-003,Harga & Komisi,ComputeProjectPricing / PlatformFeeRate,"1. Jalankan `bun run test`  2. Buka packages/shared/src/pricing.test.ts  3. Eksekusi blok ""ComputeProjectPricing / PlatformFeeRate"" (10 verifikasi)","1) Allocates every rupiah of the payout, letting the last package absorb rounding; 2) Always reconciles finalPrice to platformFee plus talentPayout; 3) Charges a split project the rate its total earns, not its packages; 4) Keeps the package ratio equal to the project ratio, which settlement reads; 5) Never allocates a package more than its own amount; 6) Prices an unpriced package at zero rather than charging for it; 7) Returns zeros for an empty project; 8) Splits the payout across packages in proportion to their amounts; 9) Takes the bracket fee off the project total; 10) Is the exact complement of the talent share",10,TDD,Unit,TypeScript,packages/shared/src/pricing.test.ts,test-unit,Pass
TC-HK-004,Harga & Komisi,Pricing — TalentShareRate,"1. Jalankan `bun run test`  2. Buka packages/shared/src/pricing.test.ts  3. Eksekusi blok ""TalentShareRate"" (3 verifikasi)",1) Applies the published share at every bracket ceiling; 2) Leaves the talent a smaller share as the project grows; 3) Moves to the next bracket one rupiah over a boundary,3,TDD,Unit,TypeScript,packages/shared/src/pricing.test.ts,test-unit,Pass
TC-LA-001,Layanan AI,Admin service — TestGetDashboard AiUsage.go (+11 blok lain),"1. Jalankan `make test-go`  2. Buka apps/admin-service  3. Eksekusi blok ""TestGetDashboard AiUsage.go (+11 blok lain)"" (12 verifikasi)",1) Get Dashboard — Ai Usage; 2) Get Dashboard — Ai Usage Non Fatal; 3) ReprocessDLQ Event — Audit Log Failure Is Not Fatal; 4) ReprocessDLQ Event — Nil Publisher Returns Unavailable; 5) ReprocessDLQ Event — Publish Failure Skips Mark; 6) Suspend User — Audit Log Failure Is Not Fatal; 7) Unsuspend User — Audit Log Failure Is Not Fatal; 8) Update Setting — Audit Log Failure Is Not Fatal; 9) Admin Auth — Cookie Auth Down; 10) Admin Auth — Cookie Auth Rejects; 11) Admin Auth — Cookie InvalidJSON; 12) Admin Auth — Cookie Non Admin Role,12,TDD,Unit Layanan,Go,apps/admin-service,test-go,Pass
TC-LA-002,Layanan AI,Dashboard series — BuildRevenueTrendSeries / BuildAiCostSeries / CompactNumber,"1. Jalankan `bun run test`  2. Buka apps/admin/src/lib/dashboard-series.test.ts  3. Eksekusi blok ""BuildRevenueTrendSeries / BuildAiCostSeries / CompactNumber"" (10 verifikasi)","1) Plots the daily total; 2) Returns an empty series when the payload is empty; 3) Returns an empty series when the payload is undefined; 4) Keeps zero-cost days so the trend line has no gaps; 5) Maps every day the backend sent, in order; 6) Renders 0 as 0; 7) Renders 1200000 as 1.2M; 8) Renders 4650.71 as 4.7K; 9) Renders 65100 as 65.1K; 10) Renders 980 as 980",10,TDD,Unit,TypeScript,apps/admin/src/lib/dashboard-series.test.ts,test-unit,Pass
TC-LA-003,Layanan AI,Dashboard ai usage,"1. Jalankan `bun run test`  2. Buka apps/admin/src/routes/dashboard-ai-usage.test.ts  3. Eksekusi blok ""Dashboard ai usage"" (10 verifikasi)","1) Falls back to the no-data message when a series is empty; 2) Formats spend as USD, not Rupiah; 3) Keeps the per-model table scrollable instead of overflowing the card; 4) Reads the aiUsage field the dashboard handler sends; 5) Renders both the trend chart and the per-model table; 6) Reports the three headline figures CLAUDE.md asks for; 7) Defines every key the dashboard renders in en; 8) Defines every key the dashboard renders in id; 9) Extracts the keys it is meant to check; 10) Translates the AI panel differently in each language",10,ATDD,Kontrak API,TypeScript,apps/admin/src/routes/dashboard-ai-usage.test.ts,test-unit,Pass
TC-LA-004,Layanan AI,Test ai routes.py — TestBuildBrdMessages / TestBuildFallbackBrd,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_ai_routes.py  3. Eksekusi blok ""TestBuildBrdMessages / TestBuildFallbackBrd"" (12 verifikasi)",1) Includes budget info; 2) Includes conversation context; 3) Includes system prompt; 4) Includes timeline; 5) Message count; 6) Category in summary; 7) Conversation included in summary; 8) Default budget; 9) Returns complete structure; 10) Team size caps at platform max; 11) Team size from timeline; 12) Uses request budget,12,ATDD,Kontrak API,Python,apps/ai-service/tests/test_ai_routes.py,test-python,Pass
TC-LA-005,Layanan AI,Test ai routes.py — TestChatStreamEndpoint (+3 blok lain),"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_ai_routes.py  3. Eksekusi blok ""TestChatStreamEndpoint (+3 blok lain)"" (12 verifikasi)",1) Stream emits tokens then terminal done; 2) Stream error event on gateway failure; 3) Not ready without llm key; 4) Ready with llm key; 5) Complete brief reports nothing; 6) Empty conversation misses everything; 7) Missing and score agree; 8) Partial brief reports the gaps; 9) Requires project id; 10) Returns empty recommendations; 11) With optional params; 12) Requires skills,12,ATDD,Kontrak API,Python,apps/ai-service/tests/test_ai_routes.py,test-python,Pass
TC-LA-006,Layanan AI,Test ai routes.py — TestParseBrdResponse / TestParseCvEndpoint,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_ai_routes.py  3. Eksekusi blok ""TestParseBrdResponse / TestParseCvEndpoint"" (10 verifikasi)",1) A mostly empty answer is a failure not a patch; 2) A single gap is still filled; 3) Empty response raises rather than templating; 4) Normalizes description to content; 5) Normalizes risk objects; 6) Normalizes string requirements; 7) Valid json response; 8) Download failure surfaces 502; 9) Requires file url; 10) Requires talent id,10,ATDD,Kontrak API,Python,apps/ai-service/tests/test_ai_routes.py,test-python,Pass
